frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,148.951692,91.423626,82.140001,105.269592,0.998277,1.000000
2,148.937559,91.487559,82.146107,105.241413,0.998920,1.000000
3,148.932970,91.393442,82.150356,105.290557,0.999497,1.000000
4,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan
7,nan,nan,nan,nan,nan,nan
8,nan,nan,nan,nan,nan,nan
9,nan,nan,nan,nan,nan,nan
10,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan,nan
14,nan,nan,nan,nan,nan,nan
15,nan,nan,nan,nan,nan,nan
16,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan
20,150.301332,91.190402,81.498581,105.418170,0.998314,1.000000
21,150.296859,91.199610,81.499317,105.415702,0.998336,1.000000
22,150.296859,91.199610,81.499317,105.415702,0.998349,1.000000
23,150.326140,91.089312,81.496886,105.404030,0.998593,1.000000
24,150.326140,91.089312,81.496886,105.404030,0.998597,1.000000
25,150.326224,91.091278,81.496135,105.403359,0.998549,1.000000
26,150.368510,91.319990,81.482377,105.281611,0.999534,1.000000
27,150.392648,91.305967,81.473476,105.287559,0.999539,1.000000
28,150.365396,91.324969,81.488763,105.279607,0.999310,1.000000
29,150.319062,91.482255,81.535137,105.241343,0.999738,1.000000
30,150.316758,91.494548,81.537495,105.238085,0.999392,1.000000
31,150.316758,91.494548,81.537495,105.238085,0.999392,1.000000
32,150.397832,91.500026,81.506542,105.243238,0.999828,1.000000
33,150.479516,91.513860,81.475089,105.246265,0.999815,1.000000
34,150.491429,91.536613,81.469830,105.242004,0.999617,1.000000
35,150.473189,91.566390,81.482289,105.223507,0.999573,1.000000
36,150.473779,91.562139,81.478683,105.227283,0.999649,1.000000
37,150.528876,91.571559,81.467548,105.220803,0.999606,1.000000
38,150.539986,91.586086,81.459452,105.215422,0.999606,1.000000
39,150.536364,91.595224,81.462067,105.208232,0.999537,1.000000
40,150.559228,91.613431,81.451081,105.201684,0.999444,1.000000
41,150.558240,91.614577,81.455302,105.201482,0.999450,1.000000
42,150.562699,91.617784,81.455054,105.201043,0.999447,1.000000
43,150.584166,91.620915,81.447094,105.200509,0.999516,1.000000
44,150.623979,91.626726,81.431800,105.201588,0.999637,1.000000
45,150.629019,91.635251,81.427851,105.197956,0.999591,1.000000
46,150.637793,91.639972,81.423033,105.197720,0.999592,1.000000
47,150.637793,91.639972,81.423033,105.197720,0.999603,1.000000
48,150.645365,91.645132,81.418526,105.196937,0.999616,1.000000
49,150.641659,91.663970,81.420600,105.188781,0.999569,1.000000
50,150.656939,91.667425,81.414557,105.190482,0.999596,1.000000
51,150.688264,91.683277,81.403115,105.180536,0.999612,1.000000
52,150.685259,91.691141,81.407514,105.176480,0.999559,1.000000
53,150.693649,91.704006,81.404020,105.171233,0.999577,1.000000
54,150.693649,91.704006,81.404020,105.171233,0.999516,1.000000
55,150.708938,91.714835,81.396262,105.165242,0.999508,1.000000
56,150.714725,91.720480,81.392410,105.163643,0.999351,1.000000
57,150.721730,91.725719,81.388121,105.162659,0.999332,1.000000
58,150.735928,91.732782,81.384689,105.163228,0.999329,1.000000
59,150.766600,91.715248,81.376950,105.171590,0.999571,1.000000
60,150.786341,91.699532,81.372564,105.177546,0.999565,1.000000
61,150.809412,91.726818,81.360363,105.167225,0.999507,1.000000
